,nama_provinsi,bulan,tahun
240,JAWA BARAT,JANUARI,2020
241,JAWA BARAT,FEBRUARI,2020
242,JAWA BARAT,MARET,2020
243,JAWA BARAT,APRIL,2020
244,JAWA BARAT,MEI,2020
245,JAWA BARAT,JUNI,2020
246,JAWA BARAT,JULI,2020
247,JAWA BARAT,AGUSTUS,2020
248,JAWA BARAT,SEPTEMBER,2020
249,JAWA BARAT,OKTOBER,2020
250,JAWA BARAT,NOVEMBER,2020
251,JAWA BARAT,DESEMBER,2020
252,JAWA BARAT,JANUARI,2020
253,JAWA BARAT,FEBRUARI,2020
254,JAWA BARAT,MARET,2020
255,JAWA BARAT,APRIL,2020
256,JAWA BARAT,MEI,2020
257,JAWA BARAT,JUNI,2020
258,JAWA BARAT,JULI,2020
259,JAWA BARAT,AGUSTUS,2020
260,JAWA BARAT,SEPTEMBER,2020
261,JAWA BARAT,OKTOBER,2020
262,JAWA BARAT,NOVEMBER,2020
263,JAWA BARAT,DESEMBER,2020
264,JAWA BARAT,JANUARI,2020
265,JAWA BARAT,FEBRUARI,2020
266,JAWA BARAT,MARET,2020
267,JAWA BARAT,APRIL,2020
268,JAWA BARAT,MEI,2020
269,JAWA BARAT,JUNI,2020
270,JAWA BARAT,JULI,2020
271,JAWA BARAT,AGUSTUS,2020
272,JAWA BARAT,SEPTEMBER,2020
273,JAWA BARAT,OKTOBER,2020
274,JAWA BARAT,NOVEMBER,2020
275,JAWA BARAT,DESEMBER,2020
276,JAWA BARAT,JANUARI,2020
277,JAWA BARAT,FEBRUARI,2020
278,JAWA BARAT,MARET,2020
279,JAWA BARAT,APRIL,2020
280,JAWA BARAT,MEI,2020
281,JAWA BARAT,JUNI,2020
282,JAWA BARAT,JULI,2020
283,JAWA BARAT,AGUSTUS,2020
284,JAWA BARAT,SEPTEMBER,2020
285,JAWA BARAT,OKTOBER,2020
286,JAWA BARAT,NOVEMBER,2020
287,JAWA BARAT,DESEMBER,2020
288,JAWA BARAT,JANUARI,2021
289,JAWA BARAT,FEBRUARI,2021
290,JAWA BARAT,MARET,2021
291,JAWA BARAT,APRIL,2021
292,JAWA BARAT,MEI,2021
293,JAWA BARAT,JUNI,2021
294,JAWA BARAT,JULI,2021
295,JAWA BARAT,AGUSTUS,2021
296,JAWA BARAT,SEPTEMBER,2021
297,JAWA BARAT,OKTOBER,2021
298,JAWA BARAT,NOVEMBER,2021
299,JAWA BARAT,DESEMBER,2021
300,JAWA BARAT,JANUARI,2021
301,JAWA BARAT,FEBRUARI,2021
302,JAWA BARAT,MARET,2021
303,JAWA BARAT,APRIL,2021
304,JAWA BARAT,MEI,2021
305,JAWA BARAT,JUNI,2021
306,JAWA BARAT,JULI,2021
307,JAWA BARAT,AGUSTUS,2021
308,JAWA BARAT,SEPTEMBER,2021
309,JAWA BARAT,OKTOBER,2021
310,JAWA BARAT,NOVEMBER,2021
311,JAWA BARAT,DESEMBER,2021
312,JAWA BARAT,JANUARI,2021
313,JAWA BARAT,FEBRUARI,2021
314,JAWA BARAT,MARET,2021
315,JAWA BARAT,APRIL,2021
316,JAWA BARAT,MEI,2021
317,JAWA BARAT,JUNI,2021
318,JAWA BARAT,JULI,2021
319,JAWA BARAT,AGUSTUS,2021
320,JAWA BARAT,SEPTEMBER,2021
321,JAWA BARAT,OKTOBER,2021
322,JAWA BARAT,NOVEMBER,2021
323,JAWA BARAT,DESEMBER,2021
324,JAWA BARAT,JANUARI,2021
325,JAWA BARAT,FEBRUARI,2021
326,JAWA BARAT,MARET,2021
327,JAWA BARAT,APRIL,2021
328,JAWA BARAT,MEI,2021
329,JAWA BARAT,JUNI,2021
330,JAWA BARAT,JULI,2021
331,JAWA BARAT,AGUSTUS,2021
332,JAWA BARAT,SEPTEMBER,2021
333,JAWA BARAT,OKTOBER,2021
334,JAWA BARAT,NOVEMBER,2021
335,JAWA BARAT,DESEMBER,2021
